Age ,Gender ,MaritalStatus ,Department             ,JobRole                   ,JobLevel ,JobInvolvement ,JobSatisfaction ,MonthlyIncome ,HourlyRate ,DailyRate ,MonthlyRate ,TotalWorkingYears ,YearsAtCompany ,YearsInCurrentRole ,YearsSinceLastPromotion ,YearsWithCurrManager ,BusinessTravel    ,DistanceFromHome ,Education ,EducationField   ,EnvironmentSatisfaction ,RelationshipSatisfaction ,WorkLifeBalance ,NumCompaniesWorked ,OverTime ,PercentSalaryHike ,PerformanceRating ,StockOptionLevel ,TrainingTimesLastYear ,EmployeeCount ,EmployeeNumber ,Over18 ,StandardHours ,Attrition
 35 ,Male   ,Married       ,Research & Development ,Laboratory Technician     ,       1 ,             4 ,              2 ,         2426 ,        84 ,      809 ,      16479 ,                6 ,             5 ,                 4 ,                      0 ,                   3 ,Travel_Rarely     ,              16 ,        3 ,Medical          ,                      1 ,                       3 ,              3 ,                 0 ,No       ,               13 ,                3 ,               1 ,                    5 ,            1 ,            14 ,Y      ,           80 ,No
 29 ,Female ,Single        ,Research & Development ,Laboratory Technician     ,       2 ,             2 ,              3 ,         4193 ,        49 ,      153 ,      12682 ,               10 ,             9 ,                 5 ,                      0 ,                   8 ,Travel_Rarely     ,              15 ,        2 ,Life Sciences    ,                      4 ,                       4 ,              3 ,                 0 ,Yes      ,               12 ,                3 ,               0 ,                    3 ,            1 ,            15 ,Y      ,           80 ,No
 31 ,Male   ,Divorced      ,Research & Development ,Research Scientist        ,       1 ,             3 ,              3 ,         2911 ,        31 ,      670 ,      15170 ,                5 ,             5 ,                 2 ,                      4 ,                   3 ,Travel_Rarely     ,              26 ,        1 ,Life Sciences    ,                      1 ,                       4 ,              2 ,                 1 ,No       ,               17 ,                3 ,               1 ,                    1 ,            1 ,            16 ,Y      ,           80 ,No
 34 ,Male   ,Divorced      ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              4 ,         2661 ,        93 ,     1346 ,       8758 ,                3 ,             2 ,                 2 ,                      1 ,                   2 ,Travel_Rarely     ,              19 ,        2 ,Medical          ,                      2 ,                       3 ,              3 ,                 0 ,No       ,               11 ,                3 ,               1 ,                    2 ,            1 ,            18 ,Y      ,           80 ,No
 28 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             2 ,              3 ,         2028 ,        50 ,      103 ,      12947 ,                6 ,             4 ,                 2 ,                      0 ,                   3 ,Travel_Rarely     ,              24 ,        3 ,Life Sciences    ,                      3 ,                       2 ,              3 ,                 5 ,Yes      ,               14 ,                3 ,               0 ,                    4 ,            1 ,            19 ,Y      ,           80 ,Yes
 29 ,Female ,Divorced      ,Research & Development ,Manufacturing Director    ,       3 ,             4 ,              1 ,         9980 ,        51 ,     1389 ,      10195 ,               10 ,            10 ,                 9 ,                      8 ,                   8 ,Travel_Rarely     ,              21 ,        4 ,Life Sciences    ,                      2 ,                       3 ,              3 ,                 1 ,No       ,               11 ,                3 ,               1 ,                    1 ,            1 ,            20 ,Y      ,           80 ,No
 32 ,Male   ,Divorced      ,Research & Development ,Research Scientist        ,       1 ,             4 ,              2 ,         3298 ,        80 ,      334 ,      15053 ,                7 ,             6 ,                 2 ,                      0 ,                   5 ,Travel_Rarely     ,               5 ,        2 ,Life Sciences    ,                      1 ,                       4 ,              2 ,                 0 ,Yes      ,               12 ,                3 ,               2 ,                    5 ,            1 ,            21 ,Y      ,           80 ,No
 22 ,Male   ,Divorced      ,Research & Development ,Laboratory Technician     ,       1 ,             4 ,              4 ,         2935 ,        96 ,     1123 ,       7324 ,                1 ,             1 ,                 0 ,                      0 ,                   0 ,Non-Travel        ,              16 ,        2 ,Medical          ,                      4 ,                       2 ,              2 ,                 1 ,Yes      ,               13 ,                3 ,               2 ,                    2 ,            1 ,            22 ,Y      ,           80 ,No
 53 ,Female ,Married       ,Sales                  ,Manager                   ,       4 ,             2 ,              4 ,        15427 ,        78 ,     1219 ,      22021 ,               31 ,            25 ,                 8 ,                      3 ,                   7 ,Travel_Rarely     ,               2 ,        4 ,Life Sciences    ,                      1 ,                       3 ,              3 ,                 2 ,No       ,               16 ,                3 ,               0 ,                    3 ,            1 ,            23 ,Y      ,           80 ,No
 38 ,Male   ,Single        ,Research & Development ,Research Scientist        ,       1 ,             3 ,              4 ,         3944 ,        45 ,      371 ,       4306 ,                6 ,             3 ,                 2 ,                      1 ,                   2 ,Travel_Rarely     ,               2 ,        3 ,Life Sciences    ,                      4 ,                       3 ,              3 ,                 5 ,Yes      ,               11 ,                3 ,               0 ,                    3 ,            1 ,            24 ,Y      ,           80 ,No
 24 ,Female ,Divorced      ,Research & Development ,Manufacturing Director    ,       2 ,             4 ,              3 ,         4011 ,        96 ,      673 ,       8232 ,                5 ,             4 ,                 2 ,                      1 ,                   3 ,Non-Travel        ,              11 ,        2 ,Other            ,                      1 ,                       4 ,              2 ,                 0 ,No       ,               18 ,                3 ,               1 ,                    5 ,            1 ,            26 ,Y      ,           80 ,No
 36 ,Male   ,Single        ,Sales                  ,Sales Representative      ,       1 ,             2 ,              1 ,         3407 ,        82 ,     1218 ,       6986 ,               10 ,             5 ,                 3 ,                      0 ,                   3 ,Travel_Rarely     ,               9 ,        4 ,Life Sciences    ,                      3 ,                       2 ,              3 ,                 7 ,No       ,               23 ,                4 ,               0 ,                    4 ,            1 ,            27 ,Y      ,           80 ,Yes
 34 ,Female ,Single        ,Research & Development ,Research Director         ,       3 ,             3 ,              2 ,        11994 ,        53 ,      419 ,      21293 ,               13 ,            12 ,                 6 ,                      2 ,                  11 ,Travel_Rarely     ,               7 ,        4 ,Life Sciences    ,                      1 ,                       3 ,              3 ,                 0 ,No       ,               11 ,                3 ,               0 ,                    4 ,            1 ,            28 ,Y      ,           80 ,No
 21 ,Male   ,Single        ,Research & Development ,Research Scientist        ,       1 ,             3 ,              4 ,         1232 ,        96 ,      391 ,      19281 ,                0 ,             0 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,              15 ,        2 ,Life Sciences    ,                      3 ,                       4 ,              3 ,                 1 ,No       ,               14 ,                3 ,               0 ,                    6 ,            1 ,            30 ,Y      ,           80 ,No
 34 ,Male   ,Single        ,Research & Development ,Research Scientist        ,       1 ,             3 ,              1 ,         2960 ,        83 ,      699 ,      17102 ,                8 ,             4 ,                 2 ,                      1 ,                   3 ,Travel_Rarely     ,               6 ,        1 ,Medical          ,                      2 ,                       3 ,              3 ,                 2 ,No       ,               11 ,                3 ,               0 ,                    2 ,            1 ,            31 ,Y      ,           80 ,Yes
 53 ,Female ,Divorced      ,Research & Development ,Manager                   ,       5 ,             3 ,              3 ,        19094 ,        58 ,     1282 ,      10735 ,               26 ,            14 ,                13 ,                      4 ,                   8 ,Travel_Rarely     ,               5 ,        3 ,Other            ,                      3 ,                       4 ,              2 ,                 4 ,No       ,               11 ,                3 ,               1 ,                    3 ,            1 ,            32 ,Y      ,           80 ,No
 32 ,Female ,Single        ,Research & Development ,Research Scientist        ,       1 ,             1 ,              1 ,         3919 ,        72 ,     1125 ,       4681 ,               10 ,            10 ,                 2 ,                      6 ,                   7 ,Travel_Frequently ,              16 ,        1 ,Life Sciences    ,                      2 ,                       2 ,              3 ,                 1 ,Yes      ,               22 ,                4 ,               0 ,                    5 ,            1 ,            33 ,Y      ,           80 ,Yes
 42 ,Male   ,Married       ,Sales                  ,Sales Executive           ,       2 ,             3 ,              2 ,         6825 ,        48 ,      691 ,      21173 ,               10 ,             9 ,                 7 ,                      4 ,                   2 ,Travel_Rarely     ,               8 ,        4 ,Marketing        ,                      3 ,                       4 ,              3 ,                 0 ,No       ,               11 ,                3 ,               1 ,                    2 ,            1 ,            35 ,Y      ,           80 ,No
 44 ,Female ,Married       ,Research & Development ,Healthcare Representative ,       3 ,             2 ,              4 ,        10248 ,        42 ,      477 ,       2094 ,               24 ,            22 ,                 6 ,                      5 ,                  17 ,Travel_Rarely     ,               7 ,        4 ,Medical          ,                      1 ,                       4 ,              3 ,                 3 ,No       ,               14 ,                3 ,               1 ,                    4 ,            1 ,            36 ,Y      ,           80 ,No
 46 ,Female ,Single        ,Sales                  ,Manager                   ,       5 ,             3 ,              1 ,        18947 ,        83 ,      705 ,      22822 ,               22 ,             2 ,                 2 ,                      2 ,                   1 ,Travel_Rarely     ,               2 ,        4 ,Marketing        ,                      2 ,                       4 ,              2 ,                 3 ,No       ,               12 ,                3 ,               0 ,                    2 ,            1 ,            38 ,Y      ,           80 ,No
 33 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              4 ,         2496 ,        78 ,      924 ,       6670 ,                7 ,             1 ,                 1 ,                      0 ,                   0 ,Travel_Rarely     ,               2 ,        3 ,Medical          ,                      3 ,                       4 ,              3 ,                 4 ,No       ,               11 ,                3 ,               0 ,                    3 ,            1 ,            39 ,Y      ,           80 ,No
 44 ,Male   ,Married       ,Research & Development ,Healthcare Representative ,       2 ,             3 ,              4 ,         6465 ,        41 ,     1459 ,      19121 ,                9 ,             4 ,                 2 ,                      1 ,                   3 ,Travel_Rarely     ,              10 ,        4 ,Other            ,                      4 ,                       4 ,              4 ,                 2 ,Yes      ,               13 ,                3 ,               0 ,                    5 ,            1 ,            40 ,Y      ,           80 ,No
 30 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             2 ,              3 ,         2206 ,        83 ,      125 ,      16117 ,               10 ,            10 ,                 0 ,                      1 ,                   8 ,Travel_Rarely     ,               9 ,        2 ,Medical          ,                      4 ,                       1 ,              3 ,                 1 ,No       ,               13 ,                3 ,               0 ,                    5 ,            1 ,            41 ,Y      ,           80 ,No
 39 ,Male   ,Married       ,Sales                  ,Sales Representative      ,       2 ,             3 ,              4 ,         2086 ,        56 ,      895 ,       3335 ,               19 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               5 ,        3 ,Technical Degree ,                      4 ,                       3 ,              4 ,                 3 ,No       ,               14 ,                3 ,               1 ,                    6 ,            1 ,            42 ,Y      ,           80 ,Yes
 24 ,Male   ,Married       ,Research & Development ,Research Scientist        ,       1 ,             3 ,              4 ,         2293 ,        61 ,      813 ,       3020 ,                6 ,             2 ,                 0 ,                      2 ,                   0 ,Travel_Rarely     ,               1 ,        3 ,Medical          ,                      2 ,                       1 ,              2 ,                 2 ,Yes      ,               16 ,                3 ,               1 ,                    2 ,            1 ,            45 ,Y      ,           80 ,Yes
 43 ,Female ,Divorced      ,Research & Development ,Research Scientist        ,       1 ,             4 ,              3 ,         2645 ,        72 ,     1273 ,      21923 ,                6 ,             5 ,                 3 ,                      1 ,                   4 ,Travel_Rarely     ,               2 ,        2 ,Medical          ,                      4 ,                       4 ,              2 ,                 1 ,No       ,               12 ,                3 ,               2 ,                    3 ,            1 ,            46 ,Y      ,           80 ,No
 50 ,Male   ,Married       ,Sales                  ,Sales Representative      ,       1 ,             2 ,              3 ,         2683 ,        86 ,      869 ,       3810 ,                3 ,             3 ,                 2 ,                      0 ,                   2 ,Travel_Rarely     ,               3 ,        2 ,Marketing        ,                      1 ,                       3 ,              3 ,                 1 ,Yes      ,               14 ,                3 ,               0 ,                    2 ,            1 ,            47 ,Y      ,           80 ,Yes
 35 ,Female ,Married       ,Sales                  ,Sales Representative      ,       1 ,             3 ,              4 ,         2014 ,        97 ,      890 ,       9687 ,                2 ,             2 ,                 2 ,                      2 ,                   2 ,Travel_Rarely     ,               2 ,        3 ,Marketing        ,                      4 ,                       1 ,              3 ,                 1 ,No       ,               13 ,                3 ,               0 ,                    3 ,            1 ,            49 ,Y      ,           80 ,No
 36 ,Female ,Married       ,Research & Development ,Research Scientist        ,       1 ,             2 ,              1 ,         3419 ,        82 ,      852 ,      13072 ,                6 ,             1 ,                 1 ,                      0 ,                   0 ,Travel_Rarely     ,               5 ,        4 ,Life Sciences    ,                      2 ,                       4 ,              4 ,                 9 ,Yes      ,               14 ,                3 ,               1 ,                    3 ,            1 ,            51 ,Y      ,           80 ,No
 33 ,Female ,Married       ,Sales                  ,Sales Executive           ,       2 ,             4 ,              1 ,         5376 ,        42 ,     1141 ,       3193 ,               10 ,             5 ,                 3 ,                      1 ,                   3 ,Travel_Frequently ,               1 ,        3 ,Life Sciences    ,                      3 ,                       1 ,              3 ,                 2 ,No       ,               19 ,                3 ,               2 ,                    3 ,            1 ,            52 ,Y      ,           80 ,No
 35 ,Male   ,Divorced      ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              4 ,         1951 ,        75 ,      464 ,      10910 ,                1 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               4 ,        2 ,Other            ,                      3 ,                       3 ,              3 ,                 1 ,No       ,               12 ,                3 ,               1 ,                    3 ,            1 ,            53 ,Y      ,           80 ,No
 27 ,Female ,Divorced      ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              1 ,         2341 ,        33 ,     1240 ,      19715 ,                1 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               2 ,        4 ,Life Sciences    ,                      4 ,                       4 ,              3 ,                 1 ,No       ,               13 ,                3 ,               1 ,                    6 ,            1 ,            54 ,Y      ,           80 ,No
 26 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             1 ,              3 ,         2293 ,        48 ,     1357 ,      10558 ,                1 ,             1 ,                 0 ,                      0 ,                   1 ,Travel_Rarely     ,              25 ,        3 ,Life Sciences    ,                      1 ,                       3 ,              2 ,                 1 ,No       ,               12 ,                3 ,               0 ,                    2 ,            1 ,            55 ,Y      ,           80 ,Yes
 27 ,Male   ,Single        ,Sales                  ,Sales Executive           ,       3 ,             3 ,              3 ,         8726 ,        37 ,      994 ,       2975 ,                9 ,             9 ,                 8 ,                      1 ,                   7 ,Travel_Frequently ,               8 ,        3 ,Life Sciences    ,                      4 ,                       4 ,              3 ,                 1 ,No       ,               15 ,                3 ,               0 ,                    0 ,            1 ,            56 ,Y      ,           80 ,No
 30 ,Female ,Single        ,Research & Development ,Laboratory Technician     ,       2 ,             3 ,              4 ,         4011 ,        58 ,      721 ,      10781 ,               12 ,            12 ,                 8 ,                      3 ,                   7 ,Travel_Frequently ,               1 ,        2 ,Medical          ,                      3 ,                       4 ,              3 ,                 1 ,No       ,               23 ,                4 ,               0 ,                    2 ,            1 ,            57 ,Y      ,           80 ,No
 41 ,Female ,Married       ,Research & Development ,Research Director         ,       5 ,             3 ,              3 ,        19545 ,        49 ,     1360 ,      16280 ,               23 ,            22 ,                15 ,                     15 ,                   8 ,Travel_Rarely     ,              12 ,        3 ,Technical Degree ,                      2 ,                       4 ,              3 ,                 1 ,No       ,               12 ,                3 ,               0 ,                    0 ,            1 ,            58 ,Y      ,           80 ,Yes
 34 ,Male   ,Single        ,Sales                  ,Sales Executive           ,       2 ,             3 ,              3 ,         4568 ,        72 ,     1065 ,      10034 ,               10 ,             9 ,                 5 ,                      8 ,                   7 ,Non-Travel        ,              23 ,        4 ,Marketing        ,                      2 ,                       3 ,              3 ,                 0 ,No       ,               20 ,                4 ,               0 ,                    2 ,            1 ,            60 ,Y      ,           80 ,No
 37 ,Male   ,Married       ,Research & Development ,Research Scientist        ,       1 ,             3 ,              2 ,         3022 ,        73 ,      408 ,      10227 ,                8 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,              19 ,        2 ,Life Sciences    ,                      2 ,                       1 ,              3 ,                 4 ,No       ,               21 ,                4 ,               0 ,                    1 ,            1 ,            61 ,Y      ,           80 ,No
 46 ,Male   ,Single        ,Sales                  ,Sales Executive           ,       2 ,             3 ,              4 ,         5772 ,        98 ,     1211 ,      20445 ,               14 ,             9 ,                 6 ,                      0 ,                   8 ,Travel_Frequently ,               5 ,        4 ,Marketing        ,                      1 ,                       3 ,              3 ,                 4 ,Yes      ,               21 ,                4 ,               0 ,                    4 ,            1 ,            62 ,Y      ,           80 ,No
 35 ,Male   ,Married       ,Research & Development ,Laboratory Technician     ,       1 ,             4 ,              4 ,         2269 ,        36 ,     1229 ,       4892 ,                1 ,             1 ,                 0 ,                      0 ,                   1 ,Travel_Rarely     ,               8 ,        1 ,Life Sciences    ,                      4 ,                       4 ,              3 ,                 1 ,No       ,               19 ,                3 ,               0 ,                    2 ,            1 ,            63 ,Y      ,           80 ,No
 48 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       3 ,             2 ,              3 ,         5381 ,        98 ,      626 ,      19294 ,               23 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               1 ,        2 ,Life Sciences    ,                      1 ,                       4 ,              3 ,                 9 ,Yes      ,               13 ,                3 ,               0 ,                    2 ,            1 ,            64 ,Y      ,           80 ,Yes
 28 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              3 ,         3441 ,        50 ,     1434 ,      11179 ,                2 ,             2 ,                 2 ,                      2 ,                   2 ,Travel_Rarely     ,               5 ,        4 ,Technical Degree ,                      3 ,                       3 ,              2 ,                 1 ,Yes      ,               13 ,                3 ,               0 ,                    3 ,            1 ,            65 ,Y      ,           80 ,Yes
 44 ,Female ,Divorced      ,Sales                  ,Sales Executive           ,       2 ,             3 ,              1 ,         5454 ,        75 ,     1488 ,       4009 ,                9 ,             4 ,                 3 ,                      1 ,                   3 ,Travel_Rarely     ,               1 ,        5 ,Marketing        ,                      2 ,                       3 ,              2 ,                 5 ,Yes      ,               21 ,                4 ,               1 ,                    2 ,            1 ,            68 ,Y      ,           80 ,No
 35 ,Male   ,Married       ,Research & Development ,Healthcare Representative ,       3 ,             2 ,              1 ,         9884 ,        79 ,     1097 ,       8302 ,               10 ,             4 ,                 0 ,                      2 ,                   3 ,Non-Travel        ,              11 ,        2 ,Medical          ,                      3 ,                       3 ,              3 ,                 2 ,Yes      ,               13 ,                3 ,               1 ,                    3 ,            1 ,            70 ,Y      ,           80 ,No
 26 ,Female ,Married       ,Sales                  ,Sales Executive           ,       2 ,             2 ,              4 ,         4157 ,        47 ,     1443 ,      21436 ,                5 ,             2 ,                 2 ,                      0 ,                   0 ,Travel_Rarely     ,              23 ,        3 ,Marketing        ,                      3 ,                       3 ,              2 ,                 7 ,Yes      ,               19 ,                3 ,               1 ,                    2 ,            1 ,            72 ,Y      ,           80 ,No
 33 ,Female ,Single        ,Research & Development ,Research Director         ,       3 ,             3 ,              4 ,        13458 ,        98 ,      515 ,      15146 ,               15 ,            15 ,                14 ,                      8 ,                  12 ,Travel_Frequently ,               1 ,        2 ,Life Sciences    ,                      1 ,                       3 ,              3 ,                 1 ,Yes      ,               12 ,                3 ,               0 ,                    1 ,            1 ,            73 ,Y      ,           80 ,No
 35 ,Male   ,Married       ,Sales                  ,Sales Executive           ,       3 ,             3 ,              1 ,         9069 ,        71 ,      853 ,      11031 ,                9 ,             9 ,                 8 ,                      1 ,                   8 ,Travel_Frequently ,              18 ,        5 ,Life Sciences    ,                      2 ,                       4 ,              2 ,                 1 ,No       ,               22 ,                4 ,               1 ,                    3 ,            1 ,            74 ,Y      ,           80 ,No
 35 ,Female ,Married       ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              1 ,         4014 ,        30 ,     1142 ,      16002 ,                4 ,             2 ,                 2 ,                      2 ,                   2 ,Travel_Rarely     ,              23 ,        4 ,Medical          ,                      3 ,                       3 ,              3 ,                 3 ,Yes      ,               15 ,                3 ,               1 ,                    3 ,            1 ,            75 ,Y      ,           80 ,No
 31 ,Male   ,Divorced      ,Research & Development ,Laboratory Technician     ,       2 ,             3 ,              4 ,         5915 ,        48 ,      655 ,       9528 ,               10 ,             7 ,                 7 ,                      1 ,                   7 ,Travel_Rarely     ,               7 ,        4 ,Life Sciences    ,                      4 ,                       4 ,              2 ,                 3 ,No       ,               22 ,                4 ,               1 ,                    3 ,            1 ,            76 ,Y      ,           80 ,No
 37 ,Male   ,Divorced      ,Research & Development ,Manufacturing Director    ,       2 ,             2 ,              3 ,         5993 ,        51 ,     1115 ,       2689 ,                7 ,             7 ,                 5 ,                      0 ,                   7 ,Travel_Rarely     ,               1 ,        4 ,Life Sciences    ,                      1 ,                       3 ,              4 ,                 1 ,No       ,               18 ,                3 ,               1 ,                    2 ,            1 ,            77 ,Y      ,           80 ,No
 32 ,Male   ,Married       ,Research & Development ,Manufacturing Director    ,       2 ,             3 ,              4 ,         6162 ,        33 ,      427 ,      10877 ,                9 ,             9 ,                 8 ,                      7 ,                   8 ,Travel_Rarely     ,               1 ,        3 ,Medical          ,                      1 ,                       2 ,              3 ,                 1 ,Yes      ,               22 ,                4 ,               1 ,                    3 ,            1 ,            78 ,Y      ,           80 ,No
 38 ,Female ,Single        ,Research & Development ,Laboratory Technician     ,       2 ,             3 ,              4 ,         2406 ,        50 ,      653 ,       5456 ,               10 ,            10 ,                 3 ,                      9 ,                   9 ,Travel_Frequently ,              29 ,        5 ,Life Sciences    ,                      4 ,                       4 ,              3 ,                 1 ,No       ,               11 ,                3 ,               0 ,                    2 ,            1 ,            79 ,Y      ,           80 ,No
 50 ,Female ,Divorced      ,Research & Development ,Research Director         ,       5 ,             2 ,              3 ,        18740 ,        43 ,      989 ,      16701 ,               29 ,            27 ,                 3 ,                     13 ,                   8 ,Travel_Rarely     ,               7 ,        2 ,Medical          ,                      2 ,                       4 ,              2 ,                 5 ,Yes      ,               12 ,                3 ,               1 ,                    2 ,            1 ,            80 ,Y      ,           80 ,No
 59 ,Female ,Single        ,Sales                  ,Sales Executive           ,       3 ,             3 ,              1 ,         7637 ,        99 ,     1435 ,       2354 ,               28 ,            21 ,                16 ,                      7 ,                   9 ,Travel_Rarely     ,              25 ,        3 ,Life Sciences    ,                      1 ,                       4 ,              2 ,                 7 ,No       ,               11 ,                3 ,               0 ,                    3 ,            1 ,            81 ,Y      ,           80 ,No
 36 ,Female ,Divorced      ,Research & Development ,Healthcare Representative ,       3 ,             3 ,              3 ,        10096 ,        59 ,     1223 ,       8202 ,               17 ,            17 ,                14 ,                     12 ,                   8 ,Travel_Rarely     ,               8 ,        3 ,Technical Degree ,                      3 ,                       2 ,              3 ,                 1 ,No       ,               13 ,                3 ,               3 ,                    2 ,            1 ,            83 ,Y      ,           80 ,No
 55 ,Female ,Divorced      ,Research & Development ,Manager                   ,       4 ,             3 ,              3 ,        14756 ,        33 ,      836 ,      19730 ,               21 ,             5 ,                 0 ,                      0 ,                   2 ,Travel_Rarely     ,               8 ,        3 ,Medical          ,                      4 ,                       3 ,              3 ,                 2 ,Yes      ,               14 ,                3 ,               3 ,                    2 ,            1 ,            84 ,Y      ,           80 ,No
 36 ,Male   ,Single        ,Research & Development ,Manufacturing Director    ,       2 ,             2 ,              2 ,         6499 ,        95 ,     1195 ,      22656 ,                6 ,             6 ,                 5 ,                      0 ,                   3 ,Travel_Frequently ,              11 ,        3 ,Life Sciences    ,                      2 ,                       3 ,              3 ,                 1 ,No       ,               13 ,                3 ,               0 ,                    3 ,            1 ,            85 ,Y      ,           80 ,No
